time,mouse_dx,mouse_dy,mouse_scroll
2021-02-01T17:29:07.444,0,0,0
2021-02-01T17:29:07.448,0,0,0
2021-02-01T17:29:07.454,0,0,0
2021-02-01T17:29:07.457,0,0,0
2021-02-01T17:29:07.463,0,0,0
2021-02-01T17:29:07.470,0,0,0
2021-02-01T17:29:07.471,0,0,0
2021-02-01T17:29:07.474,0,0,0
2021-02-01T17:29:07.478,0,0,0
2021-02-01T17:29:07.487,0,0,0
2021-02-01T17:29:07.494,0,0,0
2021-02-01T17:29:07.496,0,0,0
2021-02-01T17:29:07.500,0,0,0
2021-02-01T17:29:07.505,0,0,0
2021-02-01T17:29:07.510,0,0,0
2021-02-01T17:29:07.514,0,0,0
2021-02-01T17:29:07.517,0,0,0
2021-02-01T17:29:07.521,0,0,0
2021-02-01T17:29:07.527,0,0,0
2021-02-01T17:29:07.531,0,0,0
2021-02-01T17:29:07.535,0,0,0
2021-02-01T17:29:07.538,0,0,0
2021-02-01T17:29:07.542,0,0,0
2021-02-01T17:29:07.547,0,0,0
2021-02-01T17:29:07.551,0,0,0
2021-02-01T17:29:07.554,0,0,0
2021-02-01T17:29:07.558,0,0,0
2021-02-01T17:29:07.562,0,0,0
2021-02-01T17:29:07.572,0,0,0
2021-02-01T17:29:07.574,0,0,0
2021-02-01T17:29:07.577,0,0,0
2021-02-01T17:29:07.582,0,0,0
2021-02-01T17:29:07.585,0,0,0
2021-02-01T17:29:07.589,0,0,0
2021-02-01T17:29:07.594,0,0,0
2021-02-01T17:29:07.600,0,0,0
2021-02-01T17:29:07.602,0,0,0
2021-02-01T17:29:07.606,0,0,0
2021-02-01T17:29:07.609,0,0,0
2021-02-01T17:29:07.615,0,0,0
2021-02-01T17:29:07.621,0,0,0
2021-02-01T17:29:07.623,0,0,0
2021-02-01T17:29:07.627,0,0,0
2021-02-01T17:29:07.636,0,0,0
2021-02-01T17:29:07.638,0,0,0
2021-02-01T17:29:07.642,0,0,0
2021-02-01T17:29:07.644,0,0,0
2021-02-01T17:29:07.648,0,0,0
2021-02-01T17:29:07.653,0,0,0
2021-02-01T17:29:07.658,0,0,0
2021-02-01T17:29:07.662,0,0,0
2021-02-01T17:29:07.665,0,0,0
2021-02-01T17:29:07.671,0,0,0
2021-02-01T17:29:07.672,0,0,0
2021-02-01T17:29:07.676,0,0,0
2021-02-01T17:29:07.685,0,0,0
2021-02-01T17:29:07.686,0,0,0
2021-02-01T17:29:07.690,0,0,0
2021-02-01T17:29:07.694,0,0,0
2021-02-01T17:29:07.698,0,0,0
2021-02-01T17:29:07.706,0,0,0
2021-02-01T17:29:07.710,0,0,0
2021-02-01T17:29:07.718,0,0,0
2021-02-01T17:29:07.721,0,0,0
2021-02-01T17:29:07.725,0,0,0
2021-02-01T17:29:07.729,0,0,0
2021-02-01T17:29:07.733,0,0,0
2021-02-01T17:29:07.736,0,0,0
2021-02-01T17:29:07.740,0,0,0
2021-02-01T17:29:07.744,0,0,0
2021-02-01T17:29:07.752,0,0,0
2021-02-01T17:29:07.755,0,0,0
2021-02-01T17:29:07.757,0,0,0
2021-02-01T17:29:07.761,0,0,0
2021-02-01T17:29:07.765,0,0,0
2021-02-01T17:29:07.779,0,0,0
2021-02-01T17:29:07.780,0,0,0
2021-02-01T17:29:07.784,0,0,0
2021-02-01T17:29:07.787,0,0,0
2021-02-01T17:29:07.794,0,0,0
2021-02-01T17:29:07.798,0,0,0
