time,mouse_key
2021-02-01T17:25:13.844,"{}"
2021-02-01T17:25:13.848,"{}"
2021-02-01T17:25:13.852,"{}"
2021-02-01T17:25:13.859,"{}"
2021-02-01T17:25:13.863,"{}"
2021-02-01T17:25:13.866,"{}"
2021-02-01T17:25:13.870,"{}"
2021-02-01T17:25:13.874,"{}"
2021-02-01T17:25:13.878,"{}"
2021-02-01T17:25:13.882,"{}"
2021-02-01T17:25:13.886,"{}"
2021-02-01T17:25:13.892,"{}"
2021-02-01T17:25:13.895,"{}"
2021-02-01T17:25:13.899,"{}"
2021-02-01T17:25:13.903,"{}"
2021-02-01T17:25:13.909,"{}"
2021-02-01T17:25:13.913,"{}"
2021-02-01T17:25:13.916,"{}"
2021-02-01T17:25:13.920,"{}"
2021-02-01T17:25:13.924,"{}"
2021-02-01T17:25:13.930,"{}"
2021-02-01T17:25:13.935,"{}"
2021-02-01T17:25:13.938,"{}"
2021-02-01T17:25:13.944,"{}"
2021-02-01T17:25:13.946,"{}"
2021-02-01T17:25:13.950,"{}"
2021-02-01T17:25:13.956,"{}"
2021-02-01T17:25:13.959,"{}"
2021-02-01T17:25:13.962,"{}"
2021-02-01T17:25:13.966,"{}"
2021-02-01T17:25:13.970,"{}"
2021-02-01T17:25:13.974,"{}"
2021-02-01T17:25:13.979,"{}"
2021-02-01T17:25:13.983,"{}"
2021-02-01T17:25:13.987,"{}"
2021-02-01T17:25:13.991,"{}"
2021-02-01T17:25:13.997,"{}"
2021-02-01T17:25:14.003,"{}"
2021-02-01T17:25:14.006,"{}"
2021-02-01T17:25:14.010,"{}"
2021-02-01T17:25:14.014,"{}"
2021-02-01T17:25:14.018,"{}"
2021-02-01T17:25:14.022,"{}"
2021-02-01T17:25:14.029,"{}"
2021-02-01T17:25:14.033,"{}"
2021-02-01T17:25:14.037,"{}"
2021-02-01T17:25:14.043,"{}"
2021-02-01T17:25:14.046,"{}"
2021-02-01T17:25:14.050,"{}"
2021-02-01T17:25:14.054,"{}"
2021-02-01T17:25:14.059,"{}"
2021-02-01T17:25:14.062,"{}"
2021-02-01T17:25:14.066,"{}"
2021-02-01T17:25:14.070,"{}"
2021-02-01T17:25:14.076,"{}"
2021-02-01T17:25:14.082,"{}"
2021-02-01T17:25:14.085,"{}"
2021-02-01T17:25:14.089,"{}"
2021-02-01T17:25:14.093,"{}"
2021-02-01T17:25:14.097,"{}"
2021-02-01T17:25:14.101,"{}"
2021-02-01T17:25:14.105,"{}"
2021-02-01T17:25:14.110,"{}"
2021-02-01T17:25:14.114,"{}"
2021-02-01T17:25:14.119,"{}"
2021-02-01T17:25:14.122,"{}"
2021-02-01T17:25:14.127,"{}"
2021-02-01T17:25:14.130,"{}"
2021-02-01T17:25:14.134,"{}"
2021-02-01T17:25:14.138,"{}"
2021-02-01T17:25:14.142,"{}"
2021-02-01T17:25:14.146,"{}"
2021-02-01T17:25:14.150,"{}"
2021-02-01T17:25:14.155,"{}"
2021-02-01T17:25:14.160,"{}"
2021-02-01T17:25:14.165,"{}"
2021-02-01T17:25:14.168,"{}"
2021-02-01T17:25:14.172,"{}"
2021-02-01T17:25:14.177,"{}"
2021-02-01T17:25:14.180,"{}"
2021-02-01T17:25:14.184,"{}"
